HourDK;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration (MWh);Day-Ahead price (DKK);;;;;
20-04-18 17.00;1.225;2.276;0,54;275,42;;;;;
20-04-18 18.00;1.349;2.191;0,62;306,41;;;;;
20-04-18 19.00;1.419;2.084;0,68;284,58;;;;;
20-04-18 20.00;1.408;2.035;0,69;281,75;;;;;
20-04-18 21.00;1.378;2.046;0,67;277,36;;;;;
20-04-18 22.00;1.293;1.895;0,68;270,21;;;;;
20-04-18 23.00;1.280;1.755;0,73;239,75;;;;;
21-04-18 00.00;1.356;1.623;0,84;244,43;;;;;
21-04-18 01.00;1.274;1.527;0,83;223,95;;;;;
21-04-18 02.00;1.217;1.522;0,80;205,48;;;;;
21-04-18 03.00;1.245;1.521;0,82;201,68;;;;;
21-04-18 04.00;1.253;1.544;0,81;205,56;;;;;
21-04-18 05.00;1.240;1.599;0,78;219,78;;;;;
21-04-18 06.00;1.213;1.672;0,73;238,77;;;;;
21-04-18 07.00;1.198;1.829;0,66;253,97;;;;;
21-04-18 08.00;1.192;1.979;0,60;260,22;;;;;
21-04-18 09.00;1.193;2.075;0,57;252,70;;;;;
21-04-18 10.00;1.233;2.114;0,58;252,85;;;;;
21-04-18 11.00;1.347;2.059;0,65;246,59;;;;;
21-04-18 12.00;1.466;1.998;0,73;230,36;;;;;
21-04-18 13.00;1.513;1.959;0,77;218,07;;;;;
21-04-18 14.00;1.510;1.921;0,79;178,82;;;;;
21-04-18 15.00;1.423;1.898;0,75;170,40;;;;;
21-04-18 16.00;1.396;1.935;0,72;193,19;;;;;
21-04-18 17.00;1.340;2.045;0,66;194,68;;;;;
21-04-18 18.00;1.188;2.025;0,59;284,95;;;;;
21-04-18 19.00;958;1.929;0,50;307,14;;;;;
21-04-18 20.00;786;1.866;0,42;271,62;;;;;
21-04-18 21.00;695;1.883;0,37;270,65;;;;;
21-04-18 22.00;614;1.815;0,34;268,64;;;;;
21-04-18 23.00;583;1.713;0,34;260,67;;;;;
22-04-18 00.00;454;1.580;0,29;216,16;;;;;
22-04-18 01.00;435;1.522;0,29;144,28;;;;;
22-04-18 02.00;394;1.487;0,26;212,06;;;;;
22-04-18 03.00;362;1.513;0,24;230,23;;;;;
22-04-18 04.00;308;1.532;0,20;237,68;;;;;
22-04-18 05.00;256;1.559;0,16;246,92;;;;;
22-04-18 06.00;233;1.608;0,14;253,62;;;;;
22-04-18 07.00;199;1.762;0,11;266,58;;;;;
22-04-18 08.00;183;1.931;0,09;271,27;;;;;
22-04-18 09.00;235;2.040;0,12;275,15;;;;;
22-04-18 10.00;316;2.056;0,15;275,59;;;;;
22-04-18 11.00;404;2.011;0,20;275,37;;;;;
22-04-18 12.00;488;1.966;0,25;271,80;;;;;
22-04-18 13.00;531;1.937;0,27;268,15;;;;;
22-04-18 14.00;524;1.896;0,28;265,24;;;;;
22-04-18 15.00;619;1.894;0,33;266,88;;;;;
22-04-18 16.00;755;1.933;0,39;268,82;;;;;
22-04-18 17.00;902;2.105;0,43;272,76;;;;;
22-04-18 18.00;1.043;2.123;0,49;274,25;;;;;
22-04-18 19.00;1.207;2.047;0,59;274,63;;;;;
22-04-18 20.00;1.350;1.973;0,68;275,30;;;;;
22-04-18 21.00;1.558;1.986;0,78;269,19;;;;;
22-04-18 22.00;1.695;1.862;0,91;240,88;;;;;
22-04-18 23.00;1.902;1.754;1,08;179,51;;;;;
23-04-18 00.00;1.900;1.678;1,13;137,72;;;;;
23-04-18 01.00;1.922;1.656;1,16;119,77;;;;;
23-04-18 02.00;1.882;1.661;1,13;103,16;;;;;
23-04-18 03.00;1.841;1.676;1,10;91,24;;;;;
23-04-18 04.00;1.797;1.720;1,04;104,80;;;;;
23-04-18 05.00;1.779;1.852;0,96;165,36;;;;;
23-04-18 06.00;1.787;2.200;0,81;291,68;;;;;
23-04-18 07.00;1.804;2.564;0,70;353,21;;;;;
23-04-18 08.00;1.861;2.635;0,71;343,00;;;;;
23-04-18 09.00;1.982;2.608;0,76;301,44;;;;;
23-04-18 10.00;2.148;2.634;0,82;290,42;;;;;
23-04-18 11.00;2.357;2.623;0,90;282,97;;;;;
23-04-18 12.00;2.508;2.559;0,98;240,66;;;;;
23-04-18 13.00;2.535;2.584;0,98;212,21;;;;;
23-04-18 14.00;2.587;2.550;1,01;197,09;;;;;
23-04-18 15.00;2.612;2.430;1,07;213,03;;;;;
23-04-18 16.00;2.686;2.441;1,10;223,83;;;;;
23-04-18 17.00;2.788;2.553;1,09;241,33;;;;;
23-04-18 18.00;2.711;2.474;1,10;295,85;;;;;
23-04-18 19.00;2.589;2.339;1,11;292,06;;;;;
23-04-18 20.00;2.442;2.261;1,08;278,87;;;;;
23-04-18 21.00;2.249;2.247;1,00;275,59;;;;;
23-04-18 22.00;2.057;2.106;0,98;268,07;;;;;
23-04-18 23.00;1.814;1.927;0,94;258,91;;;;;
24-04-18 00.00;1.500;1.771;0,85;230,16;;;;;
24-04-18 01.00;1.466;1.716;0,85;223,46;;;;;
24-04-18 02.00;1.458;1.704;0,86;211,91;;;;;
24-04-18 03.00;1.521;1.757;0,87;179,66;;;;;
24-04-18 04.00;1.611;1.812;0,89;174,29;;;;;
24-04-18 05.00;1.686;1.934;0,87;224,20;;;;;
24-04-18 06.00;1.783;2.238;0,80;270,90;;;;;
24-04-18 07.00;1.943;2.592;0,75;300,03;;;;;
24-04-18 08.00;2.134;2.740;0,78;312,24;;;;;
24-04-18 09.00;2.334;2.749;0,85;279,69;;;;;
24-04-18 10.00;2.543;2.762;0,92;208,78;;;;;
24-04-18 11.00;2.752;2.747;1,00;190,16;;;;;
24-04-18 12.00;2.919;2.634;1,11;211,76;;;;;
24-04-18 13.00;2.966;2.612;1,14;213,77;;;;;
24-04-18 14.00;3.037;2.547;1,19;186,29;;;;;
24-04-18 15.00;2.963;2.391;1,24;212,36;;;;;
24-04-18 16.00;2.953;2.333;1,27;222,71;;;;;
24-04-18 17.00;2.985;2.455;1,22;270,90;;;;;
24-04-18 18.00;2.776;2.384;1,16;307,70;;;;;
24-04-18 19.00;2.570;2.303;1,12;285,05;;;;;
24-04-18 20.00;2.271;2.249;1,01;276,64;;;;;
24-04-18 21.00;1.968;2.266;0,87;278,95;;;;;
24-04-18 22.00;1.762;2.142;0,82;277,46;;;;;
24-04-18 23.00;1.662;1.965;0,85;271,57;;;;;
25-04-18 00.00;1.287;1.794;0,72;213,64;;;;;
25-04-18 01.00;1.108;1.754;0,63;179,45;;;;;
25-04-18 02.00;892;1.743;0,51;140,04;;;;;
25-04-18 03.00;731;1.799;0,41;179,89;;;;;
25-04-18 04.00;583;1.845;0,32;241,57;;;;;
25-04-18 05.00;508;1.986;0,26;260,64;;;;;
25-04-18 06.00;451;2.285;0,20;280,83;;;;;
25-04-18 07.00;405;2.661;0,15;296,32;;;;;
25-04-18 08.00;408;2.803;0,15;304,74;;;;;
25-04-18 09.00;412;2.807;0,15;298,26;;;;;
25-04-18 10.00;513;2.766;0,19;295,35;;;;;
25-04-18 11.00;627;2.741;0,23;291,55;;;;;
25-04-18 12.00;763;2.670;0,29;283,96;;;;;
25-04-18 13.00;882;2.650;0,33;281,27;;;;;
25-04-18 14.00;1.008;2.587;0,39;278,29;;;;;
25-04-18 15.00;1.033;2.439;0,42;275,02;;;;;
25-04-18 16.00;1.063;2.428;0,44;273,38;;;;;
25-04-18 17.00;1.203;2.561;0,47;274,42;;;;;
25-04-18 18.00;1.160;2.462;0,47;260,64;;;;;
25-04-18 19.00;1.077;2.361;0,46;288,65;;;;;
25-04-18 20.00;1.092;2.291;0,48;299,30;;;;;
25-04-18 21.00;1.100;2.283;0,48;291,63;;;;;
25-04-18 22.00;1.167;2.125;0,55;270,99;;;;;
25-04-18 23.00;1.185;1.959;0,60;239,11;;;;;
26-04-18 00.00;1.188;1.808;0,66;186,43;;;;;
26-04-18 01.00;1.109;1.739;0,64;171,90;;;;;
26-04-18 02.00;1.044;1.732;0,60;220,91;;;;;
26-04-18 03.00;1.012;1.752;0,58;241,17;;;;;
26-04-18 04.00;983;1.825;0,54;242,96;;;;;
26-04-18 05.00;952;1.964;0,48;223,59;;;;;
26-04-18 06.00;909;2.252;0,40;265,90;;;;;
26-04-18 07.00;890;2.578;0,35;331,44;;;;;
26-04-18 08.00;926;2.685;0,34;334,65;;;;;
26-04-18 09.00;991;2.691;0,37;290,26;;;;;
26-04-18 10.00;1.047;2.725;0,38;276,55;;;;;
26-04-18 11.00;1.209;2.613;0,46;278,71;;;;;
26-04-18 12.00;1.412;2.548;0,55;276,70;;;;;
26-04-18 13.00;1.517;2.522;0,60;275,81;;;;;
26-04-18 14.00;1.671;2.447;0,68;220,39;;;;;
26-04-18 15.00;1.814;2.297;0,79;157,23;;;;;
26-04-18 16.00;1.938;2.276;0,85;156,78;;;;;
26-04-18 17.00;2.121;2.398;0,88;211,75;;;;;
26-04-18 18.00;2.073;2.296;0,90;267,99;;;;;
26-04-18 19.00;1.924;2.222;0,87;309,62;;;;;
26-04-18 20.00;1.792;2.170;0,83;312,82;;;;;
26-04-18 21.00;1.637;2.169;0,75;305,23;;;;;
26-04-18 22.00;1.605;2.042;0,79;280,50;;;;;
26-04-18 23.00;1.632;1.813;0,90;246,54;;;;;
27-04-18 00.00;1.659;1.641;1,01;260,47;;;;;
27-04-18 01.00;1.663;1.521;1,09;245,94;;;;;
27-04-18 02.00;1.676;1.512;1,11;241,62;;;;;
27-04-18 03.00;1.673;1.535;1,09;229,03;;;;;
27-04-18 04.00;1.612;1.551;1,04;223,52;;;;;
27-04-18 05.00;1.563;1.591;0,98;264,87;;;;;
27-04-18 06.00;1.432;1.655;0,87;331,40;;;;;
27-04-18 07.00;1.309;1.859;0,70;297,95;;;;;
27-04-18 08.00;1.230;2.010;0,61;308,30;;;;;
27-04-18 09.00;1.186;2.075;0,57;305,77;;;;;
27-04-18 10.00;1.143;2.067;0,55;300,11;;;;;
27-04-18 11.00;1.138;2.019;0,56;299,29;;;;;
27-04-18 12.00;1.166;1.946;0,60;280,59;;;;;
27-04-18 13.00;1.067;1.876;0,57;261,14;;;;;
27-04-18 14.00;1.000;1.857;0,54;246,46;;;;;
27-04-18 15.00;854;1.856;0,46;246,31;;;;;
27-04-18 16.00;702;1.889;0,37;250,11;;;;;
27-04-18 17.00;578;2.051;0,28;305,25;;;;;
27-04-18 18.00;446;2.092;0,21;331,99;;;;;
27-04-18 19.00;293;2.038;0,14;372,75;;;;;
27-04-18 20.00;188;1.969;0,10;394,80;;;;;
27-04-18 21.00;138;1.994;0,07;341,68;;;;;
27-04-18 22.00;118;1.904;0,06;302,19;;;;;
27-04-18 23.00;106;1.774;0,06;249,37;;;;;
28-04-18 00.00;110;1.644;0,07;212,18;;;;;
28-04-18 01.00;113;1.569;0,07;157,20;;;;;
28-04-18 02.00;115;1.552;0,07;188,19;;;;;
28-04-18 03.00;122;1.565;0,08;247,12;;;;;
28-04-18 04.00;143;1.575;0,09;243,77;;;;;
28-04-18 05.00;176;1.594;0,11;242,50;;;;;
28-04-18 06.00;217;1.676;0,13;259,56;;;;;
28-04-18 07.00;222;1.816;0,12;268,36;;;;;
28-04-18 08.00;221;1.999;0,11;272,38;;;;;
28-04-18 09.00;234;2.093;0,11;277,00;;;;;
28-04-18 10.00;260;2.113;0,12;275,81;;;;;
28-04-18 11.00;294;2.076;0,14;273,72;;;;;
28-04-18 12.00;323;2.024;0,16;268,06;;;;;
28-04-18 13.00;354;1.984;0,18;264,63;;;;;
28-04-18 14.00;359;1.972;0,18;260,61;;;;;
28-04-18 15.00;383;1.967;0,19;258,97;;;;;
28-04-18 16.00;453;2.015;0,22;260,46;;;;;
28-04-18 17.00;585;2.174;0,27;245,19;;;;;
28-04-18 18.00;629;2.181;0,29;268,80;;;;;
28-04-18 19.00;612;2.063;0,30;314,17;;;;;
28-04-18 20.00;612;1.984;0,31;342,34;;;;;
28-04-18 21.00;563;1.977;0,28;314,92;;;;;
28-04-18 22.00;478;1.901;0,25;294,36;;;;;
28-04-18 23.00;396;1.748;0,23;267,91;;;;;
29-04-18 00.00;360;1.622;0,22;268,07;;;;;
29-04-18 01.00;301;1.538;0,20;229,32;;;;;
29-04-18 02.00;263;1.512;0,17;207,34;;;;;
29-04-18 03.00;207;1.539;0,13;253,39;;;;;
29-04-18 04.00;168;1.567;0,11;252,94;;;;;
29-04-18 05.00;152;1.579;0,10;250,33;;;;;
29-04-18 06.00;131;1.645;0,08;256,82;;;;;
29-04-18 07.00;106;1.801;0,06;259,42;;;;;
29-04-18 08.00;101;1.982;0,05;265,31;;;;;
29-04-18 09.00;104;2.064;0,05;267,99;;;;;
29-04-18 10.00;106;2.074;0,05;268,44;;;;;
29-04-18 11.00;112;2.031;0,06;267,99;;;;;
29-04-18 12.00;127;1.991;0,06;265,53;;;;;
29-04-18 13.00;160;1.958;0,08;263,15;;;;;
29-04-18 14.00;179;1.931;0,09;260,69;;;;;
29-04-18 15.00;202;1.912;0,11;256,67;;;;;
29-04-18 16.00;262;1.964;0,13;257,93;;;;;
29-04-18 17.00;321;2.156;0,15;262,48;;;;;
29-04-18 18.00;373;2.195;0,17;265,23;;;;;
29-04-18 19.00;429;2.079;0,21;263,22;;;;;
29-04-18 20.00;503;2.028;0,25;263,07;;;;;
29-04-18 21.00;550;1.994;0,28;266,28;;;;;
29-04-18 22.00;586;1.916;0,31;263,00;;;;;
29-04-18 23.00;656;1.810;0,36;248,77;;;;;
30-04-18 00.00;868;1.613;0,54;237,89;;;;;
30-04-18 01.00;1.037;1.550;0,67;226,19;;;;;
30-04-18 02.00;1.234;1.533;0,80;186,93;;;;;
30-04-18 03.00;1.483;1.577;0,94;25,78;;;;;
30-04-18 04.00;1.739;1.622;1,07;19,74;;;;;
30-04-18 05.00;2.010;1.734;1,16;28,16;;;;;
30-04-18 06.00;2.289;2.076;1,10;37,33;;;;;
30-04-18 07.00;2.486;2.429;1,02;135,90;;;;;
30-04-18 08.00;2.607;2.506;1,04;151,54;;;;;
30-04-18 09.00;2.739;2.563;1,07;111,53;;;;;
30-04-18 10.00;2.832;2.599;1,09;36,51;;;;;
30-04-18 11.00;2.729;2.644;1,03;48,58;;;;;
30-04-18 12.00;2.588;2.643;0,98;6,56;;;;;
30-04-18 13.00;2.405;2.653;0,91;26,82;;;;;
30-04-18 14.00;2.226;2.602;0,86;17,28;;;;;
30-04-18 15.00;1.929;2.465;0,78;43,44;;;;;
30-04-18 16.00;1.742;2.523;0,69;198,78;;;;;
30-04-18 17.00;1.661;2.674;0,62;230,89;;;;;
30-04-18 18.00;1.394;2.623;0,53;230,89;;;;;
30-04-18 19.00;1.208;2.483;0,49;251,90;;;;;
30-04-18 20.00;991;2.337;0,42;256,52;;;;;
30-04-18 21.00;871;2.264;0,38;249,51;;;;;
30-04-18 22.00;806;2.069;0,39;246,53;;;;;
30-04-18 23.00;756;1.855;0,41;229,32;;;;;
01-05-18 00.00;705;1.703;0,41;140,89;;;;;
01-05-18 01.00;729;1.674;0,44;81,88;;;;;
01-05-18 02.00;798;1.669;0,48;62,73;;;;;
01-05-18 03.00;859;1.677;0,51;43,81;;;;;
01-05-18 04.00;963;1.725;0,56;33,53;;;;;
01-05-18 05.00;965;1.822;0,53;0,97;;;;;
01-05-18 06.00;999;2.048;0,49;36,58;;;;;
01-05-18 07.00;1.154;2.332;0,49;111,61;;;;;
01-05-18 08.00;1.308;2.489;0,53;181,35;;;;;
01-05-18 09.00;1.346;2.530;0,53;215,99;;;;;
01-05-18 10.00;1.353;2.551;0,53;231,19;;;;;
01-05-18 11.00;1.368;2.527;0,54;213,61;;;;;
01-05-18 12.00;1.309;2.450;0,53;189,84;;;;;
01-05-18 13.00;1.243;2.432;0,51;163,39;;;;;
01-05-18 14.00;1.169;2.380;0,49;163,24;;;;;
01-05-18 15.00;1.169;2.300;0,51;178,36;;;;;
01-05-18 16.00;1.328;2.272;0,58;195,50;;;;;
01-05-18 17.00;1.439;2.407;0,60;225,90;;;;;
01-05-18 18.00;1.531;2.387;0,64;231,04;;;;;
01-05-18 19.00;1.592;2.274;0,70;218,82;;;;;
01-05-18 20.00;1.658;2.199;0,75;214,95;;;;;
01-05-18 21.00;1.828;2.168;0,84;230,82;;;;;
01-05-18 22.00;1.900;1.967;0,97;238,57;;;;;
01-05-18 23.00;1.869;1.839;1,02;208,09;;;;;
02-05-18 00.00;1.566;1.699;0,92;238,63;;;;;
02-05-18 01.00;1.507;1.638;0,92;209,13;;;;;
02-05-18 02.00;1.483;1.667;0,89;209,95;;;;;
02-05-18 03.00;1.482;1.731;0,86;206,22;;;;;
02-05-18 04.00;1.493;1.791;0,83;212,18;;;;;
02-05-18 05.00;1.457;1.878;0,78;220,16;;;;;
02-05-18 06.00;1.434;2.191;0,65;332,88;;;;;
02-05-18 07.00;1.351;2.541;0,53;341,89;;;;;
02-05-18 08.00;1.277;2.645;0,48;351,51;;;;;
02-05-18 09.00;1.382;2.671;0,52;299,87;;;;;
02-05-18 10.00;1.557;2.737;0,57;297,64;;;;;
02-05-18 11.00;1.827;2.779;0,66;290,71;;;;;
02-05-18 12.00;1.976;2.719;0,73;283,86;;;;;
02-05-18 13.00;1.972;2.747;0,72;280,28;;;;;
02-05-18 14.00;1.991;2.829;0,70;274,77;;;;;
02-05-18 15.00;1.888;2.704;0,70;278,42;;;;;
02-05-18 16.00;1.766;2.707;0,65;287,06;;;;;
02-05-18 17.00;1.548;2.872;0,54;283,04;;;;;
02-05-18 18.00;1.381;2.799;0,49;299,28;;;;;
02-05-18 19.00;1.197;2.587;0,46;301,29;;;;;
02-05-18 20.00;1.093;2.440;0,45;298,53;;;;;
02-05-18 21.00;1.198;2.377;0,50;283,48;;;;;
02-05-18 22.00;1.362;2.277;0,60;280,06;;;;;
02-05-18 23.00;1.599;2.070;0,77;268,43;;;;;
03-05-18 00.00;1.855;2.002;0,93;254,97;;;;;
03-05-18 01.00;1.774;1.914;0,93;239,26;;;;;
03-05-18 02.00;1.642;1.876;0,88;232,10;;;;;
03-05-18 03.00;1.521;1.825;0,83;227,41;;;;;
03-05-18 04.00;1.365;1.794;0,76;240,00;;;;;
03-05-18 05.00;1.253;1.887;0,66;255,12;;;;;
03-05-18 06.00;1.172;2.414;0,49;298,77;;;;;
03-05-18 07.00;1.125;2.896;0,39;358,81;;;;;
03-05-18 08.00;1.060;3.038;0,35;372,51;;;;;
03-05-18 09.00;971;3.058;0,32;348,83;;;;;
03-05-18 10.00;1.066;2.858;0,37;329,83;;;;;
03-05-18 11.00;1.349;2.687;0,50;286,63;;;;;
03-05-18 12.00;1.473;2.605;0,57;282,68;;;;;
03-05-18 13.00;1.567;2.621;0,60;278,36;;;;;
03-05-18 14.00;1.621;2.695;0,60;276,28;;;;;
03-05-18 15.00;1.610;2.871;0,56;271,58;;;;;
03-05-18 16.00;1.670;2.791;0,60;271,81;;;;;
03-05-18 17.00;1.693;2.643;0,64;279,26;;;;;
03-05-18 18.00;1.515;2.536;0,60;282,46;;;;;
03-05-18 19.00;1.295;2.460;0,53;291,62;;;;;
03-05-18 20.00;1.127;2.358;0,48;296,02;;;;;
03-05-18 21.00;1.043;2.290;0,46;329,09;;;;;
03-05-18 22.00;962;2.167;0,44;298,55;;;;;
03-05-18 23.00;944;1.990;0,47;260,71;;;;;
04-05-18 00.00;464;1.810;0,26;255,07;;;;;
04-05-18 01.00;433;1.721;0,25;248,22;;;;;
04-05-18 02.00;407;1.737;0,23;252,39;;;;;
04-05-18 03.00;393;1.755;0,22;251,20;;;;;
04-05-18 04.00;400;1.826;0,22;252,39;;;;;
04-05-18 05.00;419;1.952;0,21;273,84;;;;;
04-05-18 06.00;357;2.241;0,16;346,25;;;;;
04-05-18 07.00;272;2.525;0,11;397,58;;;;;
04-05-18 08.00;231;2.697;0,09;428,50;;;;;
04-05-18 09.00;214;2.731;0,08;370,17;;;;;
04-05-18 10.00;215;2.772;0,08;339,40;;;;;
04-05-18 11.00;264;2.692;0,10;317,05;;;;;
04-05-18 12.00;322;2.548;0,13;292,77;;;;;
04-05-18 13.00;359;2.454;0,15;273,55;;;;;
04-05-18 14.00;395;2.340;0,17;271,83;;;;;
04-05-18 15.00;412;2.254;0,18;260,29;;;;;
04-05-18 16.00;427;2.243;0,19;273,92;;;;;
04-05-18 17.00;431;2.363;0,18;292,02;;;;;
04-05-18 18.00;408;2.314;0,18;337,02;;;;;
04-05-18 19.00;338;2.160;0,16;334,18;;;;;
04-05-18 20.00;277;2.041;0,14;324,72;;;;;
04-05-18 21.00;241;2.012;0,12;307,14;;;;;
04-05-18 22.00;213;1.939;0,11;289,93;;;;;
04-05-18 23.00;209;1.803;0,12;252,99;;;;;
05-05-18 00.00;259;1.655;0,16;250,23;;;;;
05-05-18 01.00;277;1.557;0,18;227,95;;;;;
05-05-18 02.00;291;1.534;0,19;208,81;;;;;
05-05-18 03.00;337;1.547;0,22;193,54;;;;;
05-05-18 04.00;362;1.570;0,23;190,11;;;;;
05-05-18 05.00;368;1.590;0,23;201,29;;;;;
05-05-18 06.00;346;1.709;0,20;229,00;;;;;
05-05-18 07.00;303;1.895;0,16;249,93;;;;;
05-05-18 08.00;276;2.064;0,13;278,91;;;;;
05-05-18 09.00;276;2.162;0,13;261,25;;;;;
05-05-18 10.00;284;2.169;0,13;264,16;;;;;
05-05-18 11.00;310;2.116;0,15;260,51;;;;;
05-05-18 12.00;351;2.041;0,17;246,21;;;;;
05-05-18 13.00;373;1.992;0,19;236,97;;;;;
05-05-18 14.00;387;1.934;0,20;233,77;;;;;
05-05-18 15.00;370;1.882;0,20;231,68;;;;;
05-05-18 16.00;356;1.904;0,19;238,31;;;;;
05-05-18 17.00;321;2.057;0,16;228,92;;;;;
05-05-18 18.00;251;2.081;0,12;260,29;;;;;
05-05-18 19.00;199;2.000;0,10;278,02;;;;;
05-05-18 20.00;161;1.861;0,09;278,83;;;;;
05-05-18 21.00;133;1.858;0,07;261,55;;;;;
05-05-18 22.00;121;1.830;0,07;245,61;;;;;
05-05-18 23.00;143;1.712;0,08;186,46;;;;;
06-05-18 00.00;144;1.609;0,09;155,40;;;;;
06-05-18 01.00;157;1.530;0,10;161,21;;;;;
06-05-18 02.00;167;1.513;0,11;171,05;;;;;
06-05-18 03.00;188;1.523;0,12;160,24;;;;;
06-05-18 04.00;225;1.586;0,14;160,69;;;;;
06-05-18 05.00;247;1.549;0,16;133,65;;;;;
06-05-18 06.00;252;1.603;0,16;119,20;;;;;
06-05-18 07.00;229;1.704;0,13;129,03;;;;;
06-05-18 08.00;206;1.898;0,11;157,19;;;;;
06-05-18 09.00;198;2.003;0,10;198,76;;;;;
06-05-18 10.00;193;2.023;0,10;193,54;;;;;
06-05-18 11.00;214;1.992;0,11;158,68;;;;;
06-05-18 12.00;265;1.945;0,14;155,33;;;;;
06-05-18 13.00;300;1.919;0,16;136,03;;;;;
06-05-18 14.00;330;1.896;0,17;116,22;;;;;
06-05-18 15.00;335;1.880;0,18;105,49;;;;;
06-05-18 16.00;344;1.944;0,18;155,18;;;;;
06-05-18 17.00;339;2.111;0,16;186,91;;;;;
06-05-18 18.00;305;2.126;0,14;218,87;;;;;
06-05-18 19.00;261;2.017;0,13;255,45;;;;;
06-05-18 20.00;240;1.975;0,12;274,07;;;;;
06-05-18 21.00;264;1.976;0,13;252,84;;;;;
06-05-18 22.00;310;1.926;0,16;226,92;;;;;
06-05-18 23.00;400;1.835;0,22;186,39;;;;;
07-05-18 00.00;713;1.748;0,41;116,51;;;;;
07-05-18 01.00;813;1.693;0,48;120,31;;;;;
07-05-18 02.00;907;1.665;0,54;119,49;;;;;
07-05-18 03.00;981;1.671;0,59;125,68;;;;;
07-05-18 04.00;1.083;1.709;0,63;132,23;;;;;
07-05-18 05.00;1.127;1.836;0,61;198,91;;;;;
07-05-18 06.00;1.107;2.168;0,51;309,24;;;;;
07-05-18 07.00;962;2.504;0,38;358,11;;;;;
07-05-18 08.00;779;2.628;0,30;348,72;;;;;
07-05-18 09.00;675;2.631;0,26;325,18;;;;;
07-05-18 10.00;635;2.702;0,24;285,77;;;;;
07-05-18 11.00;639;2.690;0,24;251,65;;;;;
07-05-18 12.00;660;2.602;0,25;247,48;;;;;
07-05-18 13.00;649;2.656;0,24;247,85;;;;;
07-05-18 14.00;642;2.595;0,25;241,82;;;;;
07-05-18 15.00;602;2.494;0,24;250,76;;;;;
07-05-18 16.00;545;2.462;0,22;259,25;;;;;
07-05-18 17.00;481;2.554;0,19;300,37;;;;;
07-05-18 18.00;386;2.509;0,15;360,34;;;;;
07-05-18 19.00;266;2.378;0,11;433,42;;;;;
07-05-18 20.00;190;2.271;0,08;363,62;;;;;
07-05-18 21.00;186;2.233;0,08;297,76;;;;;
07-05-18 22.00;223;2.199;0,10;252,25;;;;;
07-05-18 23.00;339;1.974;0,17;203,15;;;;;
08-05-18 00.00;532;1.791;0,30;163,95;;;;;
08-05-18 01.00;575;1.723;0,33;149,65;;;;;
08-05-18 02.00;613;1.707;0,36;126,26;;;;;
08-05-18 03.00;658;1.721;0,38;132,07;;;;;
08-05-18 04.00;735;1.774;0,41;134,15;;;;;
08-05-18 05.00;828;1.832;0,45;195,90;;;;;
08-05-18 06.00;918;2.137;0,43;245,66;;;;;
08-05-18 07.00;871;2.466;0,35;275,83;;;;;
08-05-18 08.00;832;2.589;0,32;282,68;;;;;
08-05-18 09.00;766;2.620;0,29;255,94;;;;;
08-05-18 10.00;735;2.700;0,27;259,44;;;;;
08-05-18 11.00;824;2.678;0,31;254,23;;;;;
08-05-18 12.00;1.030;2.631;0,39;242,01;;;;;
08-05-18 13.00;1.203;2.628;0,46;217,88;;;;;
08-05-18 14.00;1.295;2.644;0,49;155,16;;;;;
08-05-18 15.00;1.347;2.622;0,51;154,26;;;;;
08-05-18 16.00;1.445;2.575;0,56;157,02;;;;;
08-05-18 17.00;1.587;2.666;0,60;202,09;;;;;
08-05-18 18.00;1.521;2.593;0,59;274,94;;;;;
08-05-18 19.00;1.348;2.508;0,54;297,43;;;;;
08-05-18 20.00;1.315;2.365;0,56;244,69;;;;;
08-05-18 21.00;1.400;2.283;0,61;246,78;;;;;
08-05-18 22.00;1.461;2.215;0,66;215,49;;;;;
08-05-18 23.00;1.565;2.087;0,75;165,96;;;;;
09-05-18 00.00;1.686;1.925;0,88;133,73;;;;;
09-05-18 01.00;1.690;1.844;0,92;84,71;;;;;
09-05-18 02.00;1.611;1.817;0,89;84,34;;;;;
09-05-18 03.00;1.574;1.797;0,88;101,02;;;;;
09-05-18 04.00;1.529;1.828;0,84;109,96;;;;;
09-05-18 05.00;1.547;1.951;0,79;165,32;;;;;
09-05-18 06.00;1.565;2.250;0,70;283,26;;;;;
09-05-18 07.00;1.492;2.557;0,58;348,59;;;;;
09-05-18 08.00;1.400;2.724;0,51;405,14;;;;;
09-05-18 09.00;1.300;2.720;0,48;335,26;;;;;
09-05-18 10.00;1.288;2.751;0,47;300,32;;;;;
09-05-18 11.00;1.395;2.717;0,51;243,10;;;;;
09-05-18 12.00;1.547;2.643;0,59;239,52;;;;;
09-05-18 13.00;1.636;2.708;0,60;218,96;;;;;
09-05-18 14.00;1.720;2.668;0,64;201,90;;;;;
09-05-18 15.00;1.779;2.613;0,68;180,97;;;;;
09-05-18 16.00;1.778;2.580;0,69;181,71;;;;;
09-05-18 17.00;1.882;2.623;0,72;197,95;;;;;
09-05-18 18.00;1.880;2.480;0,76;195,64;;;;;
09-05-18 19.00;1.753;2.439;0,72;285,42;;;;;
09-05-18 20.00;1.656;2.330;0,71;80,09;;;;;
09-05-18 21.00;1.685;2.307;0,73;166,88;;;;;
09-05-18 22.00;1.760;2.156;0,82;94,92;;;;;
09-05-18 23.00;1.866;1.970;0,95;43,88;;;;;
