HourDK;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration (MWh);Day-Ahead price (DKK);;;;;
03-01-18 01.00;2.225;1.839;1,21;10,27;;;;;
03-01-18 02.00;2.524;1.840;1,37;0,15;;;;;
03-01-18 03.00;2.808;1.833;1,53;-44,59;;;;;
03-01-18 04.00;2.916;1.893;1,54;-68,56;;;;;
03-01-18 05.00;2.983;2.069;1,44;-34,54;;;;;
03-01-18 06.00;3.025;2.423;1,25;73,69;;;;;
03-01-18 07.00;2.956;2.791;1,06;200,76;;;;;
03-01-18 08.00;2.819;2.994;0,94;205,23;;;;;
03-01-18 09.00;2.648;3.041;0,87;206,34;;;;;
03-01-18 10.00;2.362;3.117;0,76;208,35;;;;;
03-01-18 11.00;1.902;3.118;0,61;212,30;;;;;
03-01-18 12.00;1.520;2.978;0,51;217,58;;;;;
03-01-18 13.00;1.299;2.957;0,44;219,52;;;;;
03-01-18 14.00;1.214;2.960;0,41;222,27;;;;;
03-01-18 15.00;1.129;2.891;0,39;227,11;;;;;
03-01-18 16.00;1.000;3.006;0,33;230,39;;;;;
03-01-18 17.00;865;3.179;0,27;232,84;;;;;
03-01-18 18.00;826;3.034;0,27;229,12;;;;;
03-01-18 19.00;765;2.850;0,27;224,43;;;;;
03-01-18 20.00;746;2.641;0,28;218,62;;;;;
03-01-18 21.00;829;2.470;0,34;215,35;;;;;
03-01-18 22.00;883;2.273;0,39;209,39;;;;;
03-01-18 23.00;944;2.081;0,45;203,29;;;;;
04-01-18 00.00;865;1.954;0,44;201,36;;;;;
04-01-18 01.00;938;1.899;0,49;199,35;;;;;
04-01-18 02.00;928;1.901;0,49;197,04;;;;;
04-01-18 03.00;1.072;1.894;0,57;197,19;;;;;
04-01-18 04.00;1.186;1.941;0,61;198,01;;;;;
04-01-18 05.00;1.242;2.083;0,60;128,86;;;;;
04-01-18 06.00;1.269;2.515;0,50;148,58;;;;;
04-01-18 07.00;1.156;2.946;0,39;250,04;;;;;
04-01-18 08.00;994;3.106;0,32;301,11;;;;;
04-01-18 09.00;848;3.043;0,28;312,42;;;;;
04-01-18 10.00;753;3.058;0,25;279,52;;;;;
04-01-18 11.00;709;3.026;0,23;268,13;;;;;
04-01-18 12.00;700;2.916;0,24;264,49;;;;;
04-01-18 13.00;730;2.944;0,25;262,77;;;;;
04-01-18 14.00;802;2.951;0,27;266,72;;;;;
04-01-18 15.00;758;2.893;0,26;312,95;;;;;
04-01-18 16.00;627;3.048;0,21;316,59;;;;;
04-01-18 17.00;480;3.255;0,15;382,84;;;;;
04-01-18 18.00;420;3.096;0,14;371,90;;;;;
04-01-18 19.00;383;2.895;0,13;347,86;;;;;
04-01-18 20.00;316;2.692;0,12;309,45;;;;;
