month;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration;Day-Ahead price (DKK)
1;1526,6787634408602;2504,1700268817203;62,990591397849464;302,2453897849461
2;1429,3244047619048;2498,7805059523807;58,21577380952381;300,6193675595238
3;1621,3116666666667;2476,8016666666667;66,95583333333333;265,1765666666669
4;1220,0791666666667;2188,1097222222224;55,361111111111114;267,57374999999985
5;782,013440860215;2205,3844086021504;35,475806451612904;260,3396639784943
6;977,5236111111111;2250,038888888889;43,50277777777778;334,36688888888904
7;807,1263440860215;2113,1317204301076;39,19758064516129;388,53899193548364
8;969,8440860215054;2177,451612903226;45,86424731182796;414,8858333333331
9;1590,1472222222221;2194,2833333333333;73,64305555555555;372,0517083333331
10;1610,159731543624;2288,4590604026844;71,15302013422819;354,1569395973153
11;1233,3138888888889;2447,3972222222224;51,327777777777776;403,2053194444444
12;1514,388440860215;2394,1612903225805;65,72311827956989;348,6470026881719
